zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,daysOnZillow,zestimate,rentZestimate,timeOnZillow,taxAssessedValue,lotAreaValue,dateSold,CalendarYear built,Price per sqft,HasFlooring,HasHeating,HasCooling,GarageSpaces,HasLaundary,FirePlaces,HasPool,HasSecurity,Stories,Livability,Crime,Employment,Housing,Schools,homeType_CONDO,homeType_MANUFACTURED,homeType_MULTI_FAMILY,homeType_SINGLE_FAMILY,homeType_TOWNHOUSE
24870636,111 Sherwood Ln,94502,Alameda,CA,37.746311,-122.250375,0.1388841287571013,3,4,0.24299090951940006,4,0.09082530380186443,4500,53:12.0,621005,5000.0,00:00.0,1987,793.0,Yes,Yes,No,2,Yes,1,No,Yes,2,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
24857603,2964 Southwood Dr,94501,Alameda,CA,37.76253,-122.23064,-0.16828301065368997,2,3,0.16367728390051892,7,-0.21558572161484835,4262,38:10.0,982597,4512.0,00:00.0,1930,650.0,Yes,Yes,No,0,Yes,2,No,No,0,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
24856386,3000 San Jose Ave,94501,Alameda,CA,37.755953,-122.236975,-0.47933834170259254,2,3,-0.3857498317502759,7,-0.44139901148524097,3458,28:15.0,829244,2871.0,00:00.0,1927,719.0,Yes,Yes,No,1,Yes,1,No,Yes,0,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
24868493,1711 Palmera Ct,94501,Alameda,CA,37.764446,-122.260393,0.29829998591966383,3,3,0.4059443585181922,7,0.24984874737256346,4937,18:25.0,1070351,4620.0,00:00.0,1924,804.0,Yes,Yes,No,1,Yes,1,No,No,2,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
299075646,617 Pacific Ave,94501,Alameda,CA,37.776844,-122.278306,-0.6317554539165547,1,2,-0.8053910145701743,7,-0.6072488272677554,2258,00:00.0,19251,3402.0,00:00.0,1925,996.0,Yes,Yes,No,1,No,0,No,No,0,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
24858342,979 Pearl St,94501,Alameda,CA,37.755699,-122.243109,-0.16828301065368997,3,3,0.2610167335236912,7,-0.08161816695797164,4868,28:09.0,1251381,4000.0,00:00.0,1928,612.0,Yes,Yes,No,1,Yes,1,No,Yes,2,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
24856988,3246 Liberty Ave,94501,Alameda,CA,37.758151,-122.229136,0.1427723203952126,3,4,0.41675985292076695,8,0.09470392437675952,4880,18:12.0,903359,4600.0,00:00.0,1912,719.0,Yes,Yes,No,1,Yes,2,No,Yes,2,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
24864273,418 Lincoln Ave,94501,Alameda,CA,37.775108,-122.284987,-0.5547692594819514,1,2,-0.622248642686576,9,-0.6011206067594211,3126,53:10.0,49605,5100.0,00:00.0,1916,850.0,Yes,Yes,Yes,0,Yes,1,No,Yes,1,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
163650749,2725 5th St,94501,Alameda,CA,37.787865,-122.281664,-0.2460468434159156,3,4,0.3857554356333861,15,-0.2271447866521507,4966,32:00.0,1211252,16160.0,00:00.0,2016,528.0,Yes,Yes,No,1,Yes,0,No,Yes,0,76,C,B,B-,B+,1.0,0.0,0.0,0.0,0.0
24859582,2430 Webb Ave,94501,Alameda,CA,37.7651,-122.24037,-0.4948911082550376,2,3,-0.553029478510098,16,-0.47754775524326326,3428,28:09.0,794061,3333.0,00:00.0,1890,846.0,Yes,Yes,No,0,Yes,0,No,Yes,2,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
24859658,2519 Clement Ave,94501,Alameda,CA,37.768693,-122.235437,-0.5547692594819514,2,3,-0.3525823155823801,17,-0.6011206067594211,3669,33:16.0,817008,3750.0,00:00.0,1880,628.0,Yes,Yes,No,0,Yes,0,No,No,2,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
24869784,1355 Crown Dr,94501,Alameda,CA,37.770229,-122.281164,-0.5928735375354419,2,2,-0.5270722919439187,22,-0.5850631175793554,3200,13:12.0,644088,403366.0,00:00.0,1980,715.0,Yes,Yes,No,1,Yes,1,No,No,1,76,C,B,B-,B+,1.0,0.0,0.0,0.0,0.0
24859228,1119 Broadway,94501,Alameda,CA,37.757286,-122.243776,-0.31992248454002997,2,3,-0.2595690637202377,22,-0.25181203778436856,3869,28:26.0,383788,2590.0,00:00.0,1927,770.0,Yes,Yes,No,1,Yes,1,No,Yes,2,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
24858234,1239 College Ave,94501,Alameda,CA,37.758559,-122.23817,-0.47700542671972573,1,2,-0.8032279156896593,26,-0.43340905310095706,2499,13:07.0,798134,2575.0,00:00.0,1906,1240.0,Yes,Yes,Yes,0,Yes,0,No,No,1,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
24868044,888 Willow St #A,94501,Alameda,CA,37.762538,-122.252991,-0.5539916211543291,3,3,0.08724779012232436,29,-0.6003448826444421,4298,48:17.0,804142,4895.0,00:00.0,1915,441.0,Yes,Yes,No,0,Yes,2,No,No,2,76,C,B,B-,B+,1.0,0.0,0.0,0.0,0.0
24867940,2137 Otis Dr APT 314,94501,Alameda,CA,37.760856,-122.252464,-0.7670645229228273,2,2,-0.5458191489083815,34,-0.7847345047749551,3200,03:24.0,416370,73180.0,00:00.0,1966,538.0,Yes,Yes,Yes,1,Yes,0,Yes,No,1,76,C,B,B-,B+,1.0,0.0,0.0,0.0,0.0
24856100,3276 Washington St,94501,Alameda,CA,37.752156,-122.234307,-0.24293629010542658,3,3,-0.24803253635749137,35,-0.16849926783562186,3728,23:24.0,1086136,4400.0,00:00.0,1958,825.0,Yes,Yes,Yes,2,Yes,1,No,Yes,1,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
24861921,1520 Santa Clara Ave,94501,Alameda,CA,37.772604,-122.259971,-0.27404182321031684,2,4,0.022354823706876158,-1,-0.4777029000662591,3253,42:02.6,780502,129198960.0,00:00.0,1900,646.0,No,Yes,No,2,Yes,0,No,No,0,76,C,B,B-,B+,0.0,0.0,1.0,0.0,0.0
24859642,2417 Eagle Ave,94501,Alameda,CA,37.768751,-122.237978,-0.5609903661029294,1,2,-0.6777681806197928,36,-0.6073263996792533,3123,58:05.0,407501,4000.0,00:00.0,1910,909.0,Yes,Yes,No,1,Yes,0,No,No,1,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
24861003,1415 Lafayette St,94501,Alameda,CA,37.769802,-122.253182,1.0020626724178059,6,5,2.401042559313139,37,0.3465815445104472,5205,33:18.0,1455444,12417.0,00:00.0,1893,552.0,Yes,Yes,Yes,0,Yes,1,Yes,No,3,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
24866636,3437 Oleander Ave,94502,Alameda,CA,37.731428,-122.237611,-0.47933834170259254,3,3,-0.11464143872573672,42,-0.42565181195116686,3785,24:00.0,411761,1738.0,00:00.0,1974,565.0,Yes,Yes,No,0,Yes,0,No,No,0,76,C,B,B-,B+,0.0,0.0,0.0,0.0,1.0
24862327,1547 Sherman St,94501,Alameda,CA,37.774331,-122.26367,0.22364670646792725,4,8,0.788091827409165,42,0.22417227916675792,5245,38:31.0,546916,5540.0,00:00.0,1895,630.0,Yes,Yes,Yes,4,Yes,0,No,Yes,0,76,C,B,B-,B+,0.0,0.0,1.0,0.0,0.0
24862328,1543 Sherman St,94501,Alameda,CA,37.774229,-122.263687,-0.16517245734320093,2,6,0.44920633612849103,42,-0.1270756000957422,3816,58:13.0,319098,6142.0,00:00.0,1895,550.0,Yes,Yes,No,4,No,0,No,No,0,76,C,B,B-,B+,0.0,0.0,1.0,0.0,0.0
24869374,955 Shorepoint Ct APT 216,94501,Alameda,CA,37.762806,-122.26897,-0.8837102720661658,1,1,-0.826300970415152,49,-0.896361204920436,2163,38:13.0,425723,101260.0,00:00.0,1971,614.0,Yes,Yes,No,1,Yes,0,Yes,No,1,76,C,B,B-,B+,1.0,0.0,0.0,0.0,0.0
