zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,daysOnZillow,zestimate,rentZestimate,timeOnZillow,taxAssessedValue,lotAreaValue,dateSold,CalendarYear built,Price per sqft,HasFlooring,HasHeating,HasCooling,GarageSpaces,HasLaundary,FirePlaces,HasPool,HasSecurity,Stories,Livability,Crime,Employment,Housing,Schools
2071614820,"Plan 4 Plan, Compass at Bay37",94501,Alameda,CA,37.790927,-122.280359,960990,3,2,1551,CONDO,5,960990,4140,16:00.0,514005,286533.7061,,2021,620,No,No,No,2,No,0,No,No,0,76,C,B,B-,B+
2071614822,"Plan 5 Plan, Compass at Bay37",94501,Alameda,CA,37.790927,-122.280359,1015990,3,2,1714,CONDO,5,1015990,4140,16:00.0,514005,286533.7061,,2021,593,No,No,No,2,No,0,No,No,0,76,C,B,B-,B+
24865915,3009 Flora Vis,94502,Alameda,CA,37.735062,-122.247615,749000,2,2,1280,TOWNHOUSE,5,825300,3399,23:16.0,82222,1500,,1968,585,Yes,Yes,No,2,Yes,1,Yes,No,2,76,C,B,B-,B+
2071614828,"Plan 4 Plan, Landing at Bay37",94501,Alameda,CA,37.790927,-122.280359,955990,2,3,1506,CONDO,6,955990,4140,16:00.0,514005,286533.7061,,2021,635,No,No,No,2,No,0,No,No,0,76,C,B,B-,B+
2072198924,2852 5th St,94501,Alameda,CA,37.790836,-122.279859,934028,2,2,1305,CONDO,6,998100,4070,33:08.0,514005,286533.7061,,2021,716,Yes,Yes,Yes,1,Yes,0,No,Yes,1,76,C,B,B-,B+
2071614827,"Plan 1 Plan, Breeze at Bay37",94501,Alameda,CA,37.790927,-122.280359,1365990,4,4,2377,SINGLE_FAMILY,6,1365990,4140,16:00.0,514005,286533.7061,,2021,575,No,No,No,2,No,0,No,No,0,76,C,B,B-,B+
299075119,2121 Santa Clara Ave,94501,Alameda,CA,37.768429,-122.247967,1510000,4,4,3812,MULTI_FAMILY,6,1510000,3934,43:07.0,139349,6974,,1914,396,Yes,Yes,No,6,No,0,No,Yes,0,76,C,B,B-,B+
2071614816,"Plan 3A Plan, Lookout at Bay37",94501,Alameda,CA,37.790927,-122.280359,800990,2,2,1066,TOWNHOUSE,6,800990,4140,16:00.0,514005,286533.7061,,2021,751,No,No,No,1,No,0,No,No,0,76,C,B,B-,B+
24856444,1208 Peach St,94501,Alameda,CA,37.754136,-122.233394,989000,1,2,1131,SINGLE_FAMILY,6,1090700,3243,23:10.0,85393,3300,,1961,874,Yes,Yes,No,0,Yes,1,No,Yes,1,76,C,B,B-,B+
24861529,1636 Central Ave,94501,Alameda,CA,37.770253,-122.25739,2500000,4,4,3739,SINGLE_FAMILY,6,2815000,4177,28:05.0,253414,10000,,1938,669,Yes,Yes,Yes,3,Yes,3,No,Yes,2,76,C,B,B-,B+
24861373,1709 Encinal Ave,94501,Alameda,CA,37.768579,-122.257553,1389000,2,4,2173,SINGLE_FAMILY,6,1389000,4500,23:06.0,355755,2660,,1891,639,Yes,Yes,No,0,Yes,1,No,Yes,2,76,C,B,B-,B+
24869266,960 Shorepoint Ct APT 209,94501,Alameda,CA,37.76256,-122.26949,569000,2,2,1043,CONDO,6,599100,3099,51:17.0,226338,133752,,1972,546,Yes,No,No,2,Yes,1,Yes,No,0,76,C,B,B-,B+
2113989770,617 Pacific Ave APT X,94501,Alameda,CA,37.776844,-122.278306,799000,1,2,802,SINGLE_FAMILY,6,799000,4500,48:21.0,514005,3402,,1925,996,Yes,Yes,No,1,Yes,1,No,No,1,76,C,B,B-,B+
2071614821,"Plan 2 Plan, Lookout at Bay37",94501,Alameda,CA,37.790927,-122.280359,841990,2,2,1138,TOWNHOUSE,6,841990,4140,16:00.0,514005,286533.7061,,2021,740,No,No,No,2,No,0,No,No,0,76,C,B,B-,B+
24857603,2964 Southwood Dr,94501,Alameda,CA,37.76253,-122.23064,1395000,2,3,2146,SINGLE_FAMILY,7,1395000,4262,38:10.0,982597,4512,00:00.0,1930,650,Yes,Yes,No,0,Yes,2,No,No,0,76,C,B,B-,B+
